Category,Level1,Level2,Level3,General,Earmarked,Total
--Examiners of Public Accounts,Legislative Branch,Examiners of Public Accounts,,5811602,1749084,7560686
--Law Institute,Legislative Branch,Law Institute,,142831,30000,172831
--Legislative Building Authority,Legislative Branch,Legislative Building Authority,,0,0,0
--Legislative Council,Legislative Branch,Legislative Council,,1099076,0,1099076
--Legislative Fiscal Office,Legislative Branch,Legislative Fiscal Office,,3152452,0,3152452
--Legislative Reference Service,Legislative Branch,Legislative Reference Service,,1515853,195030,1710883
--Legislature,Legislative Branch,Legislature,,26000257,0,26000257
--Speaker of the House,Legislative Branch,Speaker of the House,,2700272,0,2700272
--Office of the President Pro Tempore,Legislative Branch,Office of the President Pro Tempore,,1538225,0,1538225
--Court of Civil Appeals,Judicial Branch,Court of Civil Appeals,,3796502,0,3796502
--Court of Criminal Appeals,Judicial Branch,Court of Criminal Appeals,,4056410,0,4056410
--Judicial Inquiry Commission,Judicial Branch,Judicial Inquiry Commission,,535380,0,535380
--Judicial Retirement Fund,Judicial Branch,Judicial Retirement Fund,,2647793,0,2647793
--Supreme Court,Judicial Branch,Supreme Court,,11206489,0,11206489
--Supreme Court Library,Judicial Branch,Supreme Court Library,,686965,,686965
--Unified Judicial System,Judicial Branch,Unified Judicial System,,92337007,83620573,175957580
"Accountancy, Board of Public",Executive Branch,Professional Boards,"Accountancy, Board of Public",,1445710,1445710
"Adjustment, Board of ",Executive Branch,General Government,"Adjustment, Board of ",263098,0,263098
Ag & Cons Development Comm ,Executive Branch,Conservation and Environmental,Ag & Cons Development Comm ,237719,0,237719
ADEM Steel Dust/ Slugde Transfer ,Executive Branch,Conservation and Environmental,ADEM Steel Dust/ Slugde Transfer ,35541,0,35541
Agriculture Museum Board ,Executive Branch,Conservation and Environmental,Agriculture Museum Board ,42591,0,42591
"Agriculture & Industries, Dept ",Executive Branch,Conservation and Environmental,"Agriculture & Industries, Dept ",8801446,28816383,37617829
Alabama Trust Fund ,Executive Branch,General Government,Alabama Trust Fund ,74400,0,74400
Alcoholic Beverage Control Bd ,Executive Branch,Welfare and Public Health,Alcoholic Beverage Control Bd ,0,74393319,74393319
"Architects, Board for Reg of ",Executive Branch,Professional Boards,"Architects, Board for Reg of ",0,538000,538000
Archives and History ,Executive Branch,Recreation and Tourism,Archives and History ,1753240,405000,2158240
Assisted Living Administrators ,Executive Branch,Professional Boards,Assisted Living Administrators ,0,106400,106400
"Athlete Agents Commission, Alabama ",Executive Branch,Professional Boards,"Athlete Agents Commission, Alabama ",0,51623,51623
